AY,Institution,Position,Address,Link,TrackType,DateAdded,DateAdded2,Description,,,
2012-2013,"U of Alabama, Birmingham","Assistant Professor of Rhetoric and Composition, Writing Center Director [17298]","Birmingham, AL 35294",http://www.uab.edu/english,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Virginia Tech,Assistant Professor of Professional Writing: Visual Rhetoric and Design [17376],"Blacksburg, VA 24060",http://www.english.vt.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Indiana U Bloomington,Assistant Professor of Composition and Rhetoric [17715],"Bloomington, IN 47405",http://www.indiana.edu/~engweb,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of South Carolina, Beaufort","Visiting Assistant Professor, Composition & Rhetoric [18890]","Bluffton, SC 29909",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Northeastern U,Assistant or Associate Professor of Rhetoric and Composition [17888],"Boston, MA 02115",http://www.northeastern.edu/english/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"Montana SU, Bozeman",Assistant Professor of Rhetoric and Composition [17368],"Bozeman, MT 59717",http://www1.english.montana.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"Montana SU, Bozeman","Director of the Montana SU Writing Center, Assistant/Associate Tenure Track Professor [17371]","Bozeman, MT 59717",http://www1.english.montana.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Bridgewater SU,"Assistant Professor, Composition and Rhetoric","Bridgewater, MA 02325",http://www.bridgew.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Roger Williams U,Visiting Assistant Professor of Writing Studies [18929],"Bristol, RI 02809",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Manhattan C,Writing Center Coordinator [18177],"Bronx, NY 10471",http://www.manhattan.edu,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Manhattan C,"Full-time Visiting Position, Teaching Writing [18649]","Bronx, NY 10471",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Manhattan C,"Full-time Visiting Position, Teaching Writing [18649]","Bronx, NY 10471",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"New York City C of Tech, CUNY",Assistant Professor of English [18532],"Brooklyn, NY 11201",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"SUNY, U at Buffalo",Associate or Full Professor of Composition and Rhetoric [17523],"Buffalo, NY 14260",http://english.buffalo.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Vermont,Assistant Professor of Composition and Rhetoric [17316],"Burlington, VT 05405",http://www.uvm.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Massachusetts IoT,"Director , Writing Across the Curriculum, MIT [18056]","Cambridge, MA 02139",http://web.mit.edu,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Massachusetts IoT,"Associate Director, Writing Across the Curriculum [18717]","Cambridge, MA 02139",,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Massachusetts IoT,"Lecturer I, Writing Across the Curriculum [18718]","Cambridge, MA 02139",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,West Texas A&M U,Writing Instructor [18705],"Canyon, TX 79016",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of West Georgia,Assistant Professor of English (Rhetoric and Composition) [18034],"Carrollton, GA 30118",http://www.westga.edu/english/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,UNC Charlotte,Director of First Year Writing [18080],"Charlotte, NC 28223",http://english.uncc.edu/,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,UNC Charlotte,"Assistant Professor/Coordinator, Writing Resources Center [18101]","Charlotte, NC 28223",http://english.uncc.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Virginia,Associate or Full Professor to serve as Director of the Writing Program [18111],"Charlottesville, VA 22904",http://www.engl.virginia.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"Columbia C, Chicago",Assistant Professor of Professional Writing [18365],"Chicago, IL 60605",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"Columbia C, Chicago","Full Time Lecturer - First Year Writing, English [18723]","Chicago, IL 60605",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Scripps C,MARY ROUTT ENDOWED CHAIR OF WRITING,"Claremont, CA 91711",http://www.scrippscollege.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Scripps C,"PART-TIME LECTURERS, WRITING FALL SEMESTER 2013 [18806]","Claremont, CA 91711",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Clemson U,Writing Across the Curriculum [18206],"Clemson, SC 29634",http://www.clemson.edu/caah/english,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Clemson U,Technical Writing [18207],"Clemson, SC 29634",http://www.clemson.edu/caah/english,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Maryland, College Park",Unknown Position,"College Park, MD 20742",http://www.english.umd.edu,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Maryland, College Park",Visiting Assistant Professor – Academic Writing [18973],"College Park, MD 20742",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Texas A&M U,Lecturer [19023],"College Station, TX 77843",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Ursinus C,Director of Writing and Speaking Program [17486],"Collegeville, PA 19426",http://ursinus.edu,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Colorado, Colorado Springs","Writing Center Director, Ph.D. Required [18477]","Colorado Springs, CO 80918",,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Colorado, Colorado Springs
","Assistant Professor, TT, Rhetoric Specialist; Director of First-Year Rhetoric and Writing [17727]","Colorado Springs, CO 80918",http://www.uccs.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of South Carolina, Columbia",Composition and Rhetoric [17721],"Columbia, SC 29208",http://artsandsciences.sc.edu/engl/,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Ohio SU,"Open Rank Position, Professional/Technical Communication [17416]","Columbus, OH 43210",http://english.osu.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Coastal Carolina U,Assistant Professor of English – Composition and Rhetoric [17957],"Conway, SC 29528",http://www.coastal.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Tennessee Tech U,Assistant Professor of Linguistics [18331],"Cookeville, TN 38505",N/A,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Oregon SU,Assistant or Associate Professor [17373],"Corvallis, OR 97331",http://oregonstate.edu/jobs,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Misericordia U,Assistant Professor - English [18938],"Dallas, PA 18612",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Wright SU,Assistant Professor of English & Academic Director of Developmental Writing [17341],"Dayton, OH 45435",http://jobs.wright.edu/postings/5523,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Dayton,"Full-Time Lecturer, English: Composition [19009]
","Dayton, OH 45469",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Embry-Riddle Aeronautical U,Assistant Professor Tenure Track [18104],"Daytona Beach, FL 32114",http://www.erau.edu/administration/hr.html,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Saint Norbert C,Assistant Professor of English and Director of Writing Across the Curriculum [17844],"De Pere, WI 54115",http://www.snc.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Michigan, Dearborn","Assistant Professor, Composition and Rhetoric [17899]","Dearborn, MI 48128",http://www.casl.umd.umich.edu/lcc/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Millikin U,"Assistant or Associate Professor, Writing and Rhetoric [18523]","Decatur, IL 62522",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Luther C,Assistant Professor of English [18169],"Decorah, IA 52101",http://www.luther.edu/academics/dean/openings/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Colorado, Denver","Assistant Professor, Rhetoric/Composition [18321]","Denver, CO 80217",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Grand View U,Assistant Professor of English - Fall 2013-14 [18125],"Des Moines, IA 50316",http://grandview.hrmdirect.com/employment/job-opening.php?re,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Oakton Comm C,Assistant or Associate Professor English [18367],"Des Plaines, IL 60016",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Oakton Comm C,Unknown Position,"Des Plaines, IL 60016",,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Wayne SU,Assitant or Associate Professor of Composition/Rhetoric [17832],"Detroit, MI 48282",http://wayne.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"Carnegie Mellon U, Qatar","Assistant or Associate Teaching Professor (Rhetoric/Composition, Second Language Writing) [17548]","Doha, Qatar",http://www.cmu.edu/hss/english/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"Penn State U, DuBois",Full-time Nontenure-Track Assistant Professor of English [17956],"Dubois, PA 15801",http://www.psu.edu/ur/cmpcoll.html,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Minnesota, Duluth",Associate or Full Professor of Writing Studies [18330],"Duluth, MN 55812",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Minnesota, Duluth",Instructor/Assistant Professor of Writing Studies [18946],"Duluth, MN 55812",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Duke U,Lecturing Fellow [17571],"Durham, NC 27708",http://twp.duke.edu,NTT,09/15/2012,2012-09-15,Unavailable,,,
2012-2013,Michigan SU,"Assistant Professor, Cultural Rhetorics & Digital Humanities [18441]","East Lansing, MI 48824",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Illinois Central C,Associate Dean of English [17245],"East Peoria, IL 61635",http://www.icc.edu/jobs,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Illinois Central C,Tenure Track Faculty - Basic Writing and C Composition [18572],"East Peoria, IL 61635",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Central Oklahoma,Assistant Professor of English [17238],"Edmond, OK 73034",http://www.uco.edu/la/english/index.asp,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Central Washington U,"Assistant Professor, Professional and Technical Writing [18424]","Ellensburg, WA 98926",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Elon U,"Assistant Professor of English Composition, Tenure-Track [18215]","Elon, NC 27244",http://www.elon.edu/english,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Elon U,"Lecturer, English Composition [18216]","Elon, NC 27244",http://www.elon.edu/english,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"Penn State U, Erie, Behrend C","Lecturer, English [19022]","Erie, PA 16563",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Lane Comm C,"Writing Specialist, English Department","Eugene, OR 97405",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Lane Comm C,"Writing Specialist, English Department","Eugene, OR 97405",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,George Mason U,"Assistant Professor, Professional and Technical Writing [17621]","Fairfax, VA 22030",http://english.gmu.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,George Mason U,"Assistant Professor, Rhetoric / Composition [17622]","Fairfax, VA 22030",http://english.gmu.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,George Mason U,"Director, Writing Across the Curriculum (WAC) [17649]","Fairfax, VA 22030",http://english.gmu.edu/,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Longwood U,Assistant Professor of English [17663],"Farmville, VA 23909",http://www.longwood.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Fitchburg SU,Assistant Professor/English Studies/Tenure Track [18320],"Fitchburg, MA 01420",http://www.fitchburgstate.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Fitchburg SU,Assistant Professor/British & World Literature/One Year Temp [19002],"Fitchburg, MA 01420",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Nova Southeastern U,Writing/Composition Faculty [18261],"Fort Lauderdale, FL 33314",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Florida Gulf Coast U,"Composition & Rhetoric, Assistant Professor, Req. #1667 [17526]","Fort Myers, FL 33965",http://jobs.fgcu.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Frostburg SU,Instructor/Assistant Professor of English [18529],"Frostburg, MD 21532",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"California SU, Fullerton",Assistant Professor of Rhetoric and Composition [17230],"Fullerton, CA 92831",http://fullerton.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Westminster C,Assistant Professor of English [17753],"Fulton, MO 65251",http://www.westminster-mo.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Westminster C,Assistant Professor of English [18738],"Fulton, MO 65251",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Florida,Program Director of U Writing Program [18204],"Gainesville, FL 32611",http://www.hr.ufl.edu/recruitment/applicant_resources/work-UF.asp,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Hobart & William Smith Cs,Assistant Professor of Writing and Rhetoric [18830],"Geneva, NY 14456",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Rowan U,Assistant Professor of Composition/Rhetoric [17771],"Glassboro, NJ 08028",http://rowan.edu/wa,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Goshen C,Visiting Assistant Professor of English [18689],"Goshen, IN 46526",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of North Dakota,Assistant Professor of Writing Studies [17580],"Grand Forks, ND 58202",http://arts-sciences.und.edu/english/index.cfm,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Colgate U,Visiting Assistant Professor of Writing & Rhetoric [18466],"Hamilton, NY 13346",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,James Madison U,"Assistant or Associate Professor of Writing, Rhetoric & Technical Communication [17968]","Harrisonburg, VA 22807",http://www.jmu.edu/wrtc,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Southern Mississippi,"Tenure-Track Position (open rank), Composition & Rhetoric and Director of Composition [17852]","Hattiesburg, MS 39406",http://www.usm.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Haverford C,Haverford C Writing Fellows [18884],"Haverford, PA 19041",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Fort Hays SU,"Associate/Full Professor of English, Goss Distinguished Professor of Excellence, Teaching [18417]","Hays, KS 67601",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Fort Hays SU,Tenure-Track Assistant Professor of English [18437],"Hays, KS 67601",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Hawaiʻi, Hilo",ASSISTANT PROFESSOR OF ENGLISH [18284],"Hilo, HI 96720",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Michigan Tech U,Assistant Professor of Rhetoric and Composition [18328],"Houghton, MI 49931",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Rice U,"DIRECTOR, Program, Writing and Communication (PWC), Rice U [17708]","Houston, TX 77005",http://pwc.rice.edu/,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Juniata C,Assistant Professor of English [17267],"Huntingdon, PA 16652",http://www.juniata.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Simpson C,Writing Across the Curriculum Director [18306],"Indianola, IA 50125",,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Cornell U,Doctoral/Postdoctoral Diversity Fellowship [18109],"Ithaca, NY 14853",http://www.arts.cornell.edu/english/,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,East Tennessee SU,"Post-Doctoral Fellowship, English [18731]","Johnson City, TN 37614",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Missouri, Kansas City",Assistant Teaching Professor/Coordinator of Writing Assessment [18907],"Kansas City, MO 64110",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Avila U,Assistant Professor of English,"Kansas City, MO 64145",http://www.avila.edu/english,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Kent SU,Assistant Professor of LRSP (Tenure-Track) [18639],"Kent, OH 44242",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Tennessee, Knoxville","Tenure-Track Assistant or Associate Professor, Rhetoric and Composition [17552]","Knoxville, TN 37996",http://web.utk.edu/~english/default.html,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Tennessee, Knoxville","Lecturer, English [18739]","Knoxville, TN 37996",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,City U of Hong Kong,Professor (Rhetoric and Composition/English for Academic Purposes) [17495],"Kowloon Tong, Kowloon Hong Kong",http://www.cityu.edu.hk/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,City U of Hong Kong,Associate Professor/Assistant Professor [18700],"Kowloon Tong, Kowloon Hong Kong",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,City U of Hong Kong,Graduate Teaching Assistants for Freshman English support at City U campus [18855],"Kowloon Tong, Kowloon Hong Kong",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Wisconsin, La Crosse","Assistant Professor of Rhetoric and Writing, Professional Writing Specialist [17826]","La Crosse, WI 54601",http://www.uwlax.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Brigham Young U-Hawaiʻi,"English Professor, Open Rank [18008]","Laie, HI 96762",http://hr.byuh.edu/?q=careers/jobs,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,New Mexico SU,Assistant Professor of English: Rhetoric [17730],"Las Cruces, NM 88003",http://www.nmsu.edu/~english/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,New Mexico Highlands U,Assistant/Associate Professor of English (Tenure-Track) [17674],"Las Vegas, NM 87701",http://www.nmhu.edu/jobs,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,New Mexico Highlands U,Assistant/Associate Professor of English/Composition Tenure-Track [17677],"Las Vegas, NM 87701",http://www.nmhu.edu/jobs,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,McKendree U,Assistant Professor of English [18002],"Lebanon, IL 62254",http://www.mckendree.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Virginia Military Inst,Assistant Professor of Rhetoric and Composition [17198],"Lexington, VA 24450",http://www.vmi.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Virginia Military Inst,Assistant Professor of Rhetoric and Composition [17199],"Lexington, VA 24450",http://www.vmi.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Washington & Lee U,"Visiting Assistant Professor/Instructor, Professional Communication [18684]","Lexington, VA 24450",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Arkansas, Little Rock",Assistant Professor - R97278 [18893],"Little Rock, AR 72204",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Foothill C,English Instructor [18920],"Los Altos Hills, CA 94022",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Southern California,"Lecturers, Writing [18161]","Los Angeles, CA 90089",http://usc.edu,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Louisville,Director of Composition [17787],"Louisville, KY 40292",http://www.louisville.edu/jobs,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Louisville,Director of Composition [17787],"Louisville, KY 40292",http://www.louisville.edu/jobs,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Massachusetts, Lowell",Assistant or Associate Professor of Composition and Rhetoric [18289],"Lowell, MA 01854",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Southern New Hampshire U,Assistant Professor of English [17982],"Manchester, NH 03106",http://www.snhu.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Southern Polytechnic SU,"Assistant Professor, English [18488]","Marietta, GA 30060",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Northern Michigan U,"Assistant Professor, tenure-track position, Developmental English/Reading [18174]","Marquette, MI 49855",http://www.nmu.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Maryville C,"Visiting Instructor, English [18395]","Maryville, TN 37804",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"Allegheny C
",Assistant Professor of Composition and Rhetoric [17379],"Meadville, PA 16335",http://sites.allegheny.edu/english/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Christian Brothers U,"Assistant Professor of English, Rhetoric and Composition, or Communications [18851]","Memphis, TN 38104",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Wisconsin, Stout","Assistant Professor of Professional Writing, Composition, and Rhetoric [17508]","Menomonie, WI 54751",http://www.uwstout.edu/english/index.cfm,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Wisconsin, Stout",Assistant Professor of Professional Communication and Emerging Media [17860],"Menomonie, WI 54751",http://www.uwstout.edu/english,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Middlebury C,Assistant Professor of Writing and Linguistics [17582],"Middlebury, VT 05753",http://apptrkr.com/274333,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Wisconsin, Milwaukee",Associate or Full Professor Rhetoric and Composition [17849],"Milwaukee, WI 53201",http://www4.uwm.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Mississippi SU,Assistant Professor of Rhetoric and Composition [17435],"Mississippi State, MS 39762",http://www.english.msstate.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of South Alabama,Instructor [18992],"Mobile, AL 36688",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Monmouth C,"Tenure Track, Creative Writing [18360]","Monmouth, IL 61462",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Monmouth C,Two-Year Assistant Professor - British Literature [18908],"Monmouth, IL 61462",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Western Oregon U,Assistant Professor of Digital Writing [18387],"Monmouth, OR 97361",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Western Oregon U,Non-Tenure Track Instructor of English [18388],"Monmouth, OR 97361",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Western Oregon U,"Instructor, Writing and ESL [18881]","Monmouth, OR 97361",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Concordia C,Assistant Professor(s) of English [18423],"Moorhead, MN 56562",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,West Virginia U,"Assistant, Advanced Assistant or Associate Professor, Professional and Technical Writing [17258]","Morgantown, WV 26506",http://www.english.wvu.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,West Virginia U,"GEORGE & JULIA BATES WELCH JACKSON, MARY M. JACKSON & JULIA BATES JACKSON NICHOLS CHAIR OF ENGLISH [17476]","Morgantown, WV 26506",http://www.english.wvu.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
