original_address,lat,lon,formatted,postcode,city,county,state,state_code,country,country_code
"Boston, MA 02115",42.34680114,-71.08978708,"Boston, MA 02115, United States of America",02115,Boston,Suffolk County,Massachusetts,MA,United States,us
"Bozeman, MT 59717",45.66463328,-111.0506779,"Bozeman, MT 59717, United States of America",59717,Bozeman,Gallatin County,Montana,MT,United States,us
"Bridgewater, MA 02325",41.9882957,-70.9635925,"Bridgewater, MA 02325, United States of America",02325,Bridgewater,Plymouth County,Massachusetts,MA,United States,us
"Bristol, RI 02809",41.6770463,-71.2661597,"Bristol, RI 02809, United States of America",02809,Bristol,Bristol County,Rhode Island,RI,United States,us
"Bronx, NY 10471",40.90236941,-73.90299228,"New York, NY 10471, United States of America",10471,New York,,New York,NY,United States,us
"Brooklyn, NY 11201",40.69267861,-73.99170065,"New York, NY 11201, United States of America",11201,New York,Kings County,New York,NY,United States,us
"Buffalo, NY 14260",42.99987799,-78.78568659,"Amherst, NY 14260, United States of America",14260,Town of Amherst,Erie County,New York,NY,United States,us
"Burlington, VT 05405",44.51681341,-73.24149707,"Burlington, VT 05405, United States of America",05405,Burlington,Chittenden County,Vermont,VT,United States,us
"Cambridge, MA 02139",42.36401689,-71.10286191,"Cambridge, MA 02139, United States of America",02139,Cambridge,Middlesex County,Massachusetts,MA,United States,us
"Canyon, TX 79016",34.9799429,-101.919197,"Canyon, TX 79016, United States of America",79016,Canyon,Randall County,Texas,TX,United States,us
"Carrollton, GA 30118",33.5746788,-85.10304839,"Carrollton, GA 30118, United States of America",30118,Carrollton,Carroll County,Georgia,GA,United States,us
"Charlotte, NC 28223",35.30454585,-80.731535,"Charlotte, NC 28223, United States of America",28223,Charlotte,Mecklenburg County,North Carolina,NC,United States,us
"Charlottesville, VA 22904",38.029306,-78.4766781,"Charlottesville, VA, United States of America",,Charlottesville,,Virginia,VA,United States,us
"Chicago, IL 60605",41.87027308,-87.62672444,"Chicago, IL 60605, United States of America",60605,Chicago,Cook County,Illinois,IL,United States,us
"Claremont, CA 91711",34.0966764,-117.7197785,"Claremont, CA 91711, United States of America",91711,Claremont,Los Angeles County,California,CA,United States,us
"Clemson, SC 29634",34.67648199,-82.835712,"Pickens County, SC 29634, United States of America",29634,,Pickens County,South Carolina,SC,United States,us
"College Park, MD 20742",38.98884045,-76.94159405,"College Park, MD 20742, United States of America",20742,College Park,Prince George's County,Maryland,MD,United States,us
"College Station, TX 77843",30.61732089,-96.34264033,"College Station, TX 77843, United States of America",77843,College Station,Brazos County,Texas,TX,United States,us
"Collegeville, PA 19426",40.1856597,-75.451571,"Collegeville (Collegeville), PA 19426, United States of America",19426,Collegeville,Montgomery County,Pennsylvania,PA,United States,us
"Colorado Springs, CO 80918",38.90709907,-104.7738045,"Colorado Springs, CO 80918, United States of America",80918,Colorado Springs,El Paso County,Colorado,CO,United States,us
"Columbia, SC 29208",33.99547334,-81.02803502,"Columbia, SC 29208, United States of America",29208,Columbia,Richland County,South Carolina,SC,United States,us
"Columbus, OH 43210",40.00064886,-83.01539687,"Columbus, OH 43210, United States of America",43210,Columbus,Franklin County,Ohio,OH,United States,us
"Conway, SC 29528",33.82939923,-79.02636993,"Conway, SC 29528, United States of America",29528,Conway,Horry County,South Carolina,SC,United States,us
"Cookeville, TN 38505",36.18150024,-85.51870656,"Cookeville, TN 38505, United States of America",38505,Cookeville,Putnam County,Tennessee,TN,United States,us
"Corvallis, OR 97331",44.56363675,-123.2775662,"Corvallis, OR 97331, United States of America",97331,Corvallis,Benton County,Oregon,OR,United States,us
"Dallas, PA 18612",41.33617,-75.9632636,"Dallas (Dallas), PA 18612, United States of America",18612,Dallas,Luzerne County,Pennsylvania,PA,United States,us
"Dayton, OH 45435",39.7589478,-84.1916069,"Dayton, OH, United States of America",,Dayton,Montgomery County,Ohio,OH,United States,us
"Dayton, OH 45469",39.739209,-84.181231,"Dayton, OH 45469, United States of America",45469,Dayton,Montgomery County,Ohio,OH,United States,us
"Daytona Beach, FL 32114",29.20287128,-81.03875807,"Daytona Beach, FL 32114, United States of America",32114,Daytona Beach,Volusia County,Florida,FL,United States,us
"De Pere, WI 54115",44.43009102,-88.07276516,"Ledgeview, WI 54115, United States of America",54115,Town of Ledgeview,Brown County,Wisconsin,WI,United States,us
"Dearborn, MI 48128",42.3222599,-83.1763145,"Dearborn, Dearborn, MI, United States of America",,Dearborn,Wayne County,Michigan,MI,United States,us
"Decatur, IL 62522",39.83792061,-88.97728199,"Decatur, IL 62522, United States of America",62522,Decatur,Macon County,Illinois,IL,United States,us
"Decorah, IA 52101",43.3041609,-91.7859098,"Decorah (Decorah), IA, United States of America",,Decorah,Winneshiek County,Iowa,IA,United States,us
"Denver, CO 80217",39.7457268,-105.0022957,"Denver, CO 80217, United States of America",80217,Denver,,Colorado,CO,United States,us
"Des Moines, IA 50316",41.60209155,-93.59833827,"Des Moines, IA 50316, United States of America",50316,Des Moines,Polk County,Iowa,IA,United States,us
"Des Plaines, IL 60016",42.0415823,-87.8873916,"Des Plaines, IL 60016, United States of America",60016,Des Plaines,Cook County,Illinois,IL,United States,us
"Detroit, MI 48282",42.42208967,-83.02638102,"Detroit, MI 48282, United States of America",48282,Detroit,Wayne County,Michigan,MI,United States,us
"Doha, Qatar",25.2856329,51.5264162,"Doha, Qatar",,Doha,,,,Qatar,qa
"Dubois, PA 15801",41.118651,-78.7622342,"DuBois (DuBois), PA 15801, United States of America",15801,DuBois,Clearfield County,Pennsylvania,PA,United States,us
"Duluth, MN 55812",46.81151835,-92.07732566,"Duluth, MN 55812, United States of America",55812,Duluth,Saint Louis County,Minnesota,MN,United States,us
"Durham, NC 27708",36.00159039,-78.93476168,"Durham, NC 27708, United States of America",27708,Durham,Durham County,North Carolina,NC,United States,us
"East Lansing, MI 48824",42.72491312,-84.47669151,"East Lansing, MI 48824, United States of America",48824,East Lansing,Ingham County,Michigan,MI,United States,us
"East Peoria, IL 61635",40.7304384,-89.5680195,"Peoria, IL 61635, United States of America",61635,Peoria,Peoria County,Illinois,IL,United States,us
"Edmond, OK 73034",35.67286537,-97.44688065,"Edmond, OK 73034, United States of America",73034,Edmond,Oklahoma County,Oklahoma,OK,United States,us
"Ellensburg, WA 98926",46.9970635,-120.545122,"Ellensburg (Ellensburg), WA 98926, United States of America",98926,Ellensburg,Kittitas County,Washington,WA,United States,us
"Elon, NC 27244",36.1029132,-79.5066895,"Elon (Elon), NC, United States of America",,Elon,Alamance County,North Carolina,NC,United States,us
"Erie, PA 16563",42.1294712,-80.0852695,"Erie, PA, United States of America",,Erie,Erie County,Pennsylvania,PA,United States,us
"Eugene, OR 97405",44.016144,-123.1042244,"Eugene, OR 97405, United States of America",97405,Eugene,Lane County,Oregon,OR,United States,us
"Fairfax, VA 22030",38.84675449,-77.33574189,"Fairfax County, VA 22030, United States of America",22030,,Fairfax County,Virginia,VA,United States,us
"Farmville, VA 23909",37.29905286,-78.39611009,"Farmville, VA 23909, United States of America",23909,Farmville,Prince Edward County,Virginia,VA,United States,us
"Fitchburg, MA 01420",42.5854371,-71.8046023,"Fitchburg, MA 01420, United States of America",01420,Fitchburg,Worcester County,Massachusetts,MA,United States,us
"Fort Lauderdale, FL 33314",26.1223084,-80.1433786,"Fort Lauderdale, FL, United States of America",,Fort Lauderdale,Broward County,Florida,FL,United States,us
"Fort Myers, FL 33965",26.640628,-81.8723084,"Fort Myers, FL, United States of America",,Fort Myers,Lee County,Florida,FL,United States,us
"Frostburg, MD 21532",39.6583325,-78.9284241,"Frostburg, MD 21532, United States of America",21532,Frostburg,Allegany County,Maryland,MD,United States,us
"Fullerton, CA 92831",33.88024978,-117.8980528,"Fullerton, CA 92831, United States of America",92831,Fullerton,Orange County,California,CA,United States,us
"Fulton, MO 65251",38.8467082,-91.9479586,"Fulton, MO 65251, United States of America",65251,Fulton,Callaway County,Missouri,MO,United States,us
"Gainesville, FL 32611",29.64308238,-82.35472921,"Gainesville, FL 32611, United States of America",32611,Gainesville,Alachua County,Florida,FL,United States,us
"Geneva, NY 14456",42.8690271,-76.9786122,"Geneva, NY 14456, United States of America",14456,Geneva,Ontario County,New York,NY,United States,us
"Glassboro, NJ 08028",39.71298556,-75.10798266,"Glassboro, NJ 08028, United States of America",08028,Glassboro,Gloucester County,New Jersey,NJ,United States,us
"Goshen, IN 46526",41.57016692,-85.84850901,"Goshen, IN 46526, United States of America",46526,Goshen,Elkhart County,Indiana,IN,United States,us
"Grand Forks, ND 58202",47.92073469,-97.07430114,"Grand Forks, ND 58202, United States of America",58202,Grand Forks,Grand Forks County,North Dakota,ND,United States,us
"Hamilton, NY 13346",42.8268798,-75.5444159,"Hamilton, NY 13346, United States of America",13346,Hamilton,Madison County,New York,NY,United States,us
"Harrisonburg, VA 22807",38.43357126,-78.86494876,"Harrisonburg, VA 22807, United States of America",22807,Harrisonburg,,Virginia,VA,United States,us
"Hattiesburg, MS 39406",31.32827678,-89.33410539,"Hattiesburg, MS 39406, United States of America",39406,Hattiesburg,Forrest County,Mississippi,MS,United States,us
"Haverford, PA 19041",40.01117194,-75.30713496,"Haverford Township, PA 19041, United States of America",19041,Haverford Township,Delaware County,Pennsylvania,PA,United States,us
"Hays, KS 67601",38.8791783,-99.3267702,"Hays (Hays), KS 67601, United States of America",67601,Hays,Ellis County,Kansas,KS,United States,us
"Hilo, HI 96720",19.7073734,-155.08158,"Hilo, HI 96720, United States of America",96720,Hilo,Hawaiʻi County,Hawaii,HI,United States,us
"Houghton, MI 49931",47.121872,-88.569012,"Houghton (Houghton), MI 49931, United States of America",49931,Houghton,Houghton County,Michigan,MI,United States,us
"Houston, TX 77005",29.7589382,-95.3676974,"Houston, TX, United States of America",,Houston,Harris County,Texas,TX,United States,us
"Huntingdon, PA 16652",40.4847959,-78.0102813,"Huntingdon, PA 16652, United States of America",16652,Huntingdon,Huntingdon County,Pennsylvania,PA,United States,us
"Indianola, IA 50125",41.3604966,-93.5613292,"Indianola (Indianola), IA 50125, United States of America",50125,Indianola,Warren County,Iowa,IA,United States,us
"Ithaca, NY 14853",42.4396039,-76.4968019,"Ithaca, NY, United States of America",,Ithaca,Tompkins County,New York,NY,United States,us
"Johnson City, TN 37614",36.3134398,-82.3534728,"Johnson City, TN, United States of America",,Johnson City,Washington County,Tennessee,TN,United States,us
"Kansas City, MO 64110",39.04349822,-94.56217764,"Kansas City, MO 64110, United States of America",64110,Kansas City,Jackson County,Missouri,MO,United States,us
"Kansas City, MO 64145",38.89424781,-94.59553712,"Kansas City, MO 64145, United States of America",64145,Kansas City,Jackson County,Missouri,MO,United States,us
"Kent, OH 44242",41.14907403,-81.33566358,"Kent, OH 44242, United States of America",44242,Kent,Portage County,Ohio,OH,United States,us
"Knoxville, TN 37996",35.95194706,-83.93292062,"Knoxville, TN 37996, United States of America",37996,Knoxville,Knox County,Tennessee,TN,United States,us
"Kowloon Tong, Kowloon Hong Kong",22.327768,114.175672,"Kowloon Tong, Kowloon, Hong Kong S.A.R.",,Kowloon Tong,Kowloon City,Kowloon,,Hong Kong S.A.R.,hk
"La Crosse, WI 54601",43.79714673,-91.21533286,"La Crosse, WI 54601, United States of America",54601,La Crosse,La Crosse County,Wisconsin,WI,United States,us
"Laie, HI 96762",21.64651614,-157.9254228,"Honolulu County, HI 96762, United States of America",96762,,Honolulu County,Hawaii,HI,United States,us
"Las Cruces, NM 88003",32.3140354,-106.779807,"Las Cruces, NM, United States of America",,Las Cruces,Doña Ana County,New Mexico,NM,United States,us
"Las Vegas, NM 87701",35.5939325,-105.223896,"Las Vegas (Las Vegas), NM 87701, United States of America",87701,Las Vegas,San Miguel County,New Mexico,NM,United States,us
"Lebanon, IL 62254",38.6039375,-89.8073195,"Lebanon, IL 62254, United States of America",62254,Lebanon,Saint Clair County,Illinois,IL,United States,us
"Lexington, VA 24450",37.7840208,-79.4428157,"Lexington, VA, United States of America",,Lexington,,Virginia,VA,United States,us
"Little Rock, AR 72204",34.72858557,-92.34426509,"Little Rock, AR 72204, United States of America",72204,Little Rock,Pulaski County,Arkansas,AR,United States,us
"Los Altos Hills, CA 94022",37.3796627,-122.137463,"Los Altos Hills (Los Altos Hills), CA, United States of America",,Los Altos Hills,Santa Clara County,California,CA,United States,us
"Los Angeles, CA 90089",34.0220987,-118.2868452,"Los Angeles, CA 90089, United States of America",90089,Los Angeles,Los Angeles County,California,CA,United States,us
"Louisville, KY 40292",38.21429413,-85.75900938,"Louisville, KY 40292, United States of America",40292,Louisville,Jefferson County,Kentucky,KY,United States,us
"Lowell, MA 01854",42.64589084,-71.33880606,"Lowell, MA 01854, United States of America",01854,Lowell,Middlesex County,Massachusetts,MA,United States,us
"Manchester, NH 03106",42.9956397,-71.4547891,"Manchester, NH, United States of America",,Manchester,Hillsborough County,New Hampshire,NH,United States,us
"Marietta, GA 30060",33.93770016,-84.54431268,"Marietta, GA 30060, United States of America",30060,Marietta,Cobb County,Georgia,GA,United States,us
"Marquette, MI 49855",46.5434914,-87.396433,"Marquette, MI 49855, United States of America",49855,Marquette,Marquette County,Michigan,MI,United States,us
"Maryville, TN 37804",35.77592775,-83.92904862,"Blount County, TN 37804, United States of America",37804,,Blount County,Tennessee,TN,United States,us
"Meadville, PA 16335",41.641445,-80.151449,"Meadville (Meadville), PA 16335, United States of America",16335,Meadville,Crawford County,Pennsylvania,PA,United States,us
"Memphis, TN 38104",35.13152886,-90.00161888,"Memphis, TN 38104, United States of America",38104,Memphis,Shelby County,Tennessee,TN,United States,us
"Menomonie, WI 54751",44.8765289,-91.9278716,"Menomonie, WI 54751, United States of America",54751,Menomonie,Dunn County,Wisconsin,WI,United States,us
"Middlebury, VT 05753",44.01127352,-73.15378839,"Middlebury, VT 05753, United States of America",05753,Middlebury,Addison County,Vermont,VT,United States,us
"Milwaukee, WI 53201",43.0466253,-87.9060587,"Milwaukee, WI 53201, United States of America",53201,Milwaukee,Milwaukee County,Wisconsin,WI,United States,us
"Mississippi State, MS 39762",32.30053275,-90.17362741,"Mississippi State Fairgrounds, Jackson, MS, United States of America",,Jackson,Hinds County,Mississippi,MS,United States,us
"Mobile, AL 36688",30.7020344,-88.17698847,"Mobile, AL 36688, United States of America",36688,Mobile,Mobile County,Alabama,AL,United States,us
"Monmouth, IL 61462",40.9127103,-90.6472477,"Monmouth (Monmouth), IL 61462, United States of America",61462,Monmouth,Warren County,Illinois,IL,United States,us
"Monmouth, OR 97361",44.8486414,-123.2290777,"Monmouth, OR, United States of America",,Monmouth,Polk County,Oregon,OR,United States,us
"Moorhead, MN 56562",46.862419,-96.7694257,"Moorhead, MN 56562, United States of America",56562,Moorhead,Clay County,Minnesota,MN,United States,us
"Morgantown, WV 26506",39.64595234,-79.9615314,"Morgantown, WV 26506, United States of America",26506,Morgantown,Monongalia County,West Virginia,WV,United States,us
"Moscow, ID 83844",46.72492325,-117.0170962,"Moscow, ID 83844, United States of America",83844,Moscow,Latah County,Idaho,ID,United States,us
"Mt Berry, GA 30149",34.275093,-85.1832843,"Rome, GA 30149, United States of America",30149,Rome,Floyd County,Georgia,GA,United States,us
"Mt Pleasant, MI 48859",43.58884473,-84.77184573,"Mount Pleasant, MI 48859, United States of America",48859,Mount Pleasant,Isabella County,Michigan,MI,United States,us
"Muncie, 47306",40.19780353,-85.41095515,"Muncie, IN 47306, United States of America",47306,Muncie,Delaware County,Indiana,IN,United States,us
"Nashville, TN 37209",36.1622767,-86.7742984,"Nashville, TN, United States of America",,Nashville,Davidson County,Tennessee,TN,United States,us
"Nashville, TN 37212",36.1622767,-86.7742984,"Nashville, TN, United States of America",,Nashville,Davidson County,Tennessee,TN,United States,us
"Nevada, MO 64772",37.8381108,-94.3596185,"Nevada, MO 64772, United States of America",64772,Nevada,Vernon County,Missouri,MO,United States,us
"New Britain, CT 06050",41.68990283,-72.76549255,"New Britain, CT 06050, United States of America",06050,New Britain,Capitol Planning Region,Connecticut,CT,United States,us
"New Haven, CT 06515",41.32649198,-72.96930239,"New Haven, CT 06515, United States of America",06515,New Haven,South Central Connecticut Planning Region,Connecticut,CT,United States,us
"New Orleans, LA 70118",29.95215465,-90.12142212,"New Orleans, LA 70118, United States of America",70118,New Orleans,Orleans Parish,Louisiana,LA,United States,us
"New York, NY 10003",40.7313279,-73.9887488,"New York, NY 10003, United States of America",10003,New York,New York County,New York,NY,United States,us
"New York, NY 10010",40.73983442,-73.98515187,"New York, NY 10010, United States of America",10010,New York,New York County,New York,NY,United States,us
"New York, NY 10019",40.76336768,-73.98609985,"New York, NY 10019, United States of America",10019,New York,New York County,New York,NY,United States,us
"New York, NY 10021",40.77017451,-73.95967469,"New York, NY 10021, United States of America",10021,New York,New York County,New York,NY,United States,us
"New York, NY 10023",40.77699563,-73.98115212,"New York, NY 10023, United States of America",10023,New York,New York County,New York,NY,United States,us
"Newark, DE 19716",39.67674173,-75.75089617,"Newark, DE 19716, United States of America",19716,Newark,New Castle County,Delaware,DE,United States,us
"Newberry, SC 29108",34.2753247,-81.6188633,"Newberry (Newberry), SC 29108, United States of America",29108,Newberry,Newberry County,South Carolina,SC,United States,us
"North Dartmouth, MA 02747",41.6389926,-70.9703171,"North Dartmouth (Dartmouth), MA 02747, United States of America",02747,Dartmouth,Bristol County,Massachusetts,MA,United States,us
"Northridge, CA 91330",34.2345615,-118.5369316,"Los Angeles, CA 91324, United States of America",91324,Los Angeles,Los Angeles County,California,CA,United States,us
"Omaha, NE 68182",41.25733175,-96.01040677,"Omaha, NE 68182, United States of America",68182,Omaha,Douglas County,Nebraska,NE,United States,us
"Orem, UT 84058",40.27842002,-111.7067876,"Orem, UT 84058, United States of America",84058,Orem,Utah County,Utah,UT,United States,us
"Orlando, FL 32816",28.5421109,-81.3790304,"Orlando, FL, United States of America",,Orlando,Orange County,Florida,FL,United States,us
"Palatine, IL 60067",42.10560122,-88.05832275,"Palatine Township, IL 60067, United States of America",60067,Palatine Township,Cook County,Illinois,IL,United States,us
"Pella, IA",41.4073138,-92.9174074,"Pella (Pella), IA 50219, United States of America",50219,Pella,Marion County,Iowa,IA,United States,us
"Philadelphia, PA 19102",39.95056724,-75.16601731,"Philadelphia, PA 19102, United States of America",19102,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us
"Philadelphia, PA 19122",39.9789644,-75.14039911,"Philadelphia, PA 19122, United States of America",19122,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us
"Philadelphia, PA 19131",39.98148639,-75.22461134,"Philadelphia, PA 19131, United States of America",19131,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us
"Pittsburgh, PA 15213",40.44467622,-79.95319345,"Pittsburgh, PA 15213, United States of America",15213,Pittsburgh,Allegheny County,Pennsylvania,PA,United States,us
"Pittsburgh, PA 15222",40.44334167,-79.99717405,"Pittsburgh, PA 15222, United States of America",15222,Pittsburgh,Allegheny County,Pennsylvania,PA,United States,us
"Platteville, WI 53818",42.7342942,-90.4784451,"Platteville, WI 53818, United States of America",53818,Platteville,Grant County,Wisconsin,WI,United States,us
"Pleasantville, NY 10570",41.1328736,-73.7926335,"Pleasantville, NY 10570, United States of America",10570,Pleasantville,Westchester County,New York,NY,United States,us
"Portland, OR 97207",45.5202471,-122.674194,"Portland, OR, United States of America",,Portland,Multnomah County,Oregon,OR,United States,us
"Potsdam, NY 13676",44.6697996,-74.9813349,"Potsdam, NY, United States of America",,Potsdam,Saint Lawrence County,New York,NY,United States,us
"Providence, RI 02918",41.84261415,-71.43238865,"Providence, RI 02918, United States of America",02918,Providence,Providence County,Rhode Island,RI,United States,us
"Provo, UT 84602",40.26675191,-111.6616524,"Provo, UT 84602, United States of America",84602,Provo,Utah County,Utah,UT,United States,us
"Raleigh, NC 27695",35.78370282,-78.67442383,"Raleigh, NC 27695, United States of America",27695,Raleigh,Wake County,North Carolina,NC,United States,us
"Reno, NV 89557",39.54392635,-119.8158187,"Reno, NV 89557, United States of America",89557,Reno,Washoe County,Nevada,NV,United States,us
"Richmond, IN 47374",39.8286897,-84.8898521,"Richmond (Richmond), IN 47374, United States of America",47374,Richmond,Wayne County,Indiana,IN,United States,us
"Richmond, VA 23284",37.54698975,-77.45290545,"Richmond, VA 23284, United States of America",23284,Richmond,,Virginia,VA,United States,us
"River Forest, IL 60305",41.8978091,-87.8139483,"River Forest, IL 60305, United States of America",60305,River Forest,Cook County,Illinois,IL,United States,us
"Riverside, CA 92504",33.94811813,-117.421694,"Riverside, CA 92504, United States of America",92504,Riverside,Riverside County,California,CA,United States,us
"Rochester, NY 14618",43.157285,-77.615214,"Rochester, NY, United States of America",,Rochester,Monroe County,New York,NY,United States,us
"Rochester, NY 14623",43.157285,-77.615214,"Rochester, NY, United States of America",,Rochester,Monroe County,New York,NY,United States,us
"Rockville Centre, NY 11571",40.68566724,-73.62528446,"South Hempstead, NY 11571, United States of America",11571,South Hempstead,Nassau County,New York,NY,United States,us
"Rolla, MO 65409",37.95419972,-91.7745266,"Rolla, MO 65409, United States of America",65409,Rolla,Phelps County,Missouri,MO,United States,us
"Romeoville, IL 60446",41.6475306,-88.0895061,"Romeoville, IL 60446, United States of America",60446,Romeoville,Will County,Illinois,IL,United States,us
"Safat, Kuwait",29.369969,47.974977,"Safat, Kuwait City, Al Asimah, Kuwait",,Kuwait City,Al Asimah,Al Asimah,,Kuwait,kw
"Salt Lake City, UT 84105",40.73777598,-111.8596166,"Salt Lake City, UT 84105, United States of America",84105,Salt Lake City,Salt Lake County,Utah,UT,United States,us
"San Francisco, CA 94117",37.76715827,-122.450044,"San Francisco, CA 94117, United States of America",94117,San Francisco,,California,CA,United States,us
"San Jose, CA 95192",37.3351474,-121.881441,"San Jose, CA 95192, United States of America",95192,San Jose,Santa Clara County,California,CA,United States,us
"San Marcos, CA 92069",33.15367641,-117.1467781,"San Marcos, CA 92069, United States of America",92069,San Marcos,San Diego County,California,CA,United States,us
"San Marcos, TX 78666",29.8826436,-97.9405828,"San Marcos (San Marcos), TX 78666, United States of America",78666,San Marcos,Hays County,Texas,TX,United States,us
"Santa Barbara, CA 93106",34.4221319,-119.702667,"Santa Barbara, CA, United States of America",,Santa Barbara,Santa Barbara County,California,CA,United States,us
"Santa Clara, CA 95053",37.34903991,-121.9383678,"Santa Clara, CA 95053, United States of America",95053,Santa Clara,Santa Clara County,California,CA,United States,us
"Saratoga Springs, NY 12866",43.0821793,-73.7853915,"Saratoga Springs, NY 12866, United States of America",12866,Saratoga Springs,Saratoga County,New York,NY,United States,us
"Savannah, GA 31419",32.0790074,-81.0921335,"Savannah, GA, United States of America",,Savannah,Chatham County,Georgia,GA,United States,us
"Seattle, WA 98195",47.65420136,-122.3062315,"Seattle, WA 98195, United States of America",98195,Seattle,King County,Washington,WA,United States,us
Singapore,1.357107,103.8194992,Singapore,,,,,,Singapore,sg
"Sioux Falls, SD 57197",43.5240974,-96.7387335,"Sioux Falls, SD 57197, United States of America",57197,Sioux Falls,Minnehaha County,South Dakota,SD,United States,us
"Sparkill, NY 10976",41.028907,-73.933284,"Sparkill, NY 10976, United States of America",10976,Sparkill,Rockland County,New York,NY,United States,us
"Spokane, WA 99251",47.6571934,-117.42351,"Spokane, WA, United States of America",,Spokane,Spokane County,Washington,WA,United States,us
"St Louis, MO 63121",38.70641311,-90.29790912,"Normandy, MO 63121, United States of America",63121,Normandy,Saint Louis County,Missouri,MO,United States,us
"Statesboro, GA 30460",32.425348,-81.783877,"Statesboro, GA 30460, United States of America",30460,Statesboro,Bulloch County,Georgia,GA,United States,us
"Stevens Point, WI 54481",44.51735975,-89.5748625,"Stevens Point, WI 54481, United States of America",54481,Stevens Point,Portage County,Wisconsin,WI,United States,us
"Stillwater, OK 74078",36.1258414,-97.07191288,"Stillwater, OK 74078, United States of America",74078,Stillwater,Payne County,Oklahoma,OK,United States,us
"Stockton, CA 95211",37.9577016,-121.290779,"Stockton, CA, United States of America",,Stockton,San Joaquin County,California,CA,United States,us
"Tacoma, WA 98402",47.25105423,-122.4417112,"Tacoma, WA 98402, United States of America",98402,Tacoma,Pierce County,Washington,WA,United States,us
"Tampa, FL 33606",27.93626144,-82.46621621,"Tampa, FL 33606, United States of America",33606,Tampa,Hillsborough County,Florida,FL,United States,us
